time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.78,    -6.912,    -9.746,     8.561   857.693   3583.152    68.248   3373.772
0.84,    -7.085,   -11.751,     9.220   844.975   3588.744    37.840   3474.671
0.90,    -7.040,   -14.168,     9.546   932.325   3590.940    18.234   3464.344
0.96,    -7.211,   -16.515,     9.179   984.815   3596.428     8.532   3496.273
1.02,    -7.453,   -18.383,     8.568   1449.821   3597.024     4.601   3504.071
1.08,    -7.655,   -20.358,     7.247   1857.707   3595.384     1.725   3508.411
1.14,    -8.334,   -22.277,     5.753   2176.176   3593.632     0.873   3467.011
1.20,    -8.805,   -24.895,     4.399   2644.294   3592.008     0.466   3474.686
1.26,    -9.617,   -27.527,     2.763   2687.585   3595.367     0.571   3455.383
1.32,    -9.398,   -30.376,     0.722   3015.997   3594.615     0.446   3484.806
1.38,    -9.486,   -32.835,     0.000   3055.906   3596.655     0.335   3433.469
0.06,    -0.005,     0.108,     1.184   1664.086   1666.410   1591.871   1554.475
0.12,    -0.059,     0.569,     1.246   1701.799   1528.787   1816.402   1491.551
0.18,    -0.313,     0.970,     1.404   1325.476   1907.607   2149.135   1487.891
0.24,    -0.666,     1.210,     1.642   1221.080   2017.325   2663.993   1335.506
0.30,    -0.646,     1.480,     1.631   1128.038   1776.806   2334.429   1069.260
0.36,    -0.516,     2.008,     1.208   1381.048   1864.349   2643.977   1297.813
0.42,    -0.100,     2.569,     0.606   1047.351   2242.838   2761.347   1354.654
0.48,    -0.256,     3.234,     0.000   1654.113   1476.369   2764.588   1107.499
0.06,     0.092,     0.003,     1.079   1689.085   1602.283   1614.726   1512.393
0.12,     0.382,     0.150,     1.085   1590.879   1364.627   2521.427   1269.271
0.18,     1.058,     0.262,     1.003   1290.514   1901.636   2458.869   1202.473
0.24,     1.576,     0.298,     0.921   1899.229   1171.614   2225.235   1133.550
0.30,     2.027,     0.328,     0.630   1416.885   1679.314   2464.552   1153.227
0.36,     2.437,     0.215,     0.366   1656.735   1327.621   1936.375   980.299
0.42,     2.973,    -0.123,     0.043   1110.317   1838.308   2639.757   904.329
0.48,     3.467,    -0.416,     0.000   1124.920   1729.464   2405.913   1105.540
0.06,     0.100,    -0.019,     1.187   1692.259   1526.787   1648.166   1460.248
0.12,     0.307,    -0.034,     1.350   1474.134   1829.146   2058.463   1257.811
0.18,     0.407,    -0.290,     1.493   1814.411   1244.786   1952.425   1116.508
0.24,     0.589,    -0.909,     1.497   2000.039   1081.945   2117.440   1007.684
0.30,     0.539,    -1.746,     1.587   1881.913   1198.277   2011.175   1051.511
0.36,     0.460,    -2.575,     1.677   1904.342   1275.393   1497.409   1102.856
0.42,     0.624,    -3.403,     1.690   1795.228   1222.908   1701.361   935.904
0.48,     0.568,    -4.165,     1.771   2101.916   1357.849   1096.147   928.894
0.54,     0.526,    -4.925,     1.831   1908.262   1256.731   996.457   847.314
0.60,     0.418,    -5.662,     1.818   2062.455   1171.487   684.875   844.384
0.66,     0.246,    -6.382,     1.787   2398.205   1281.537   747.782   810.816
0.72,     0.080,    -7.122,     1.806   2618.983   1420.130   493.865   953.825
0.78,    -0.108,    -7.868,     1.804   2516.685   1276.086   351.322   657.451
0.84,    -0.510,    -8.487,     1.723   2501.119   1134.031   349.681   862.222
0.90,    -1.060,    -9.222,     1.896   2691.029   1315.908   278.634   944.121
0.96,    -1.682,   -10.197,     2.237   2830.954   1697.937   269.140   1043.120
1.02,    -1.937,   -11.208,     2.500   2910.170   1175.251   213.466   874.956
1.08,    -2.100,   -12.305,     2.688   3099.456   1880.000   182.802   1063.183
1.14,    -2.200,   -13.312,     2.899   3053.086   1676.298   152.226   967.582
1.20,    -2.154,   -14.413,     3.433   2970.275   2088.950   157.901   1129.809
1.26,    -1.967,   -15.339,     3.997   3209.231   2085.057   121.961   917.273
1.32,    -1.480,   -16.438,     4.484   3246.969   2159.509    94.728   875.933
1.38,    -1.028,   -17.702,     4.633   3303.301   2201.351   103.124   762.092
1.44,    -0.394,   -19.265,     4.800   3297.753   2308.470    77.570   737.585
1.50,    -0.368,   -20.944,     5.086   3279.628   2557.714    99.129   605.894
1.56,    -0.552,   -22.519,     5.364   3180.412   2333.142    58.462   647.045
1.62,    -0.774,   -24.136,     5.314   3295.229   2757.267    53.360   560.034
1.68,    -1.240,   -25.955,     5.210   3349.045   2675.848    33.762   320.143
1.74,    -1.773,   -27.484,     5.167   3316.864   3013.712    29.634   362.361
1.80,    -2.411,   -29.130,     5.142   3337.992   3127.544    29.021   433.231
1.86,    -3.764,   -31.048,     5.287   3304.813   3307.659    31.641   350.867
1.92,    -5.376,   -33.385,     4.995   3368.747   3391.999    22.871   376.608
1.98,    -6.975,   -35.890,     4.956   3346.875   3467.951    20.989   321.449
2.04,    -7.932,   -38.697,     4.868   3182.391   3491.062    11.901   344.030
2.10,    -8.601,   -41.593,     4.598   3332.309   3548.811    15.005   252.401
2.16,    -9.591,   -44.645,     4.547   3112.495   3573.718     9.727   170.069
2.22,   -10.300,   -47.589,     4.557   2849.633   3580.268     5.820   164.642
2.28,   -11.015,   -50.278,     4.323   2856.291   3586.992     5.093   127.908
2.34,   -12.277,   -52.757,     3.851   2428.798   3594.716     6.182   120.192
2.40,   -14.167,   -55.059,     3.394   1676.620   3597.533     4.697   102.887
2.46,   -16.025,   -57.480,     2.853   1561.242   3597.928     5.430    74.336
2.52,   -17.848,   -59.851,     2.423   594.069   3598.951     2.572    91.360
2.58,   -19.415,   -62.255,     1.972   484.570   3599.560     2.918    66.935
2.64,   -21.012,   -64.829,     1.498   229.428   3599.839     1.993    33.728
2.70,   -22.715,   -67.329,     0.953    45.140   3599.999     1.160    31.312
2.76,   -24.472,   -69.707,     0.427    16.047   3600.017     0.867    34.987
2.82,   -26.263,   -72.030,     0.000     6.409   3600.058     0.815    25.882
0.06,     0.063,     0.013,     1.047   1446.032   1309.116   1674.347   1314.211
0.12,     0.287,     0.105,     1.019   2609.580   957.168   1627.987   951.529
0.18,     0.416,     0.148,     0.898   1605.276   1415.116   1403.782   979.956
0.24,     0.440,     0.050,     0.628   2472.463   917.087   1682.289   935.937
0.30,     0.151,    -0.059,     0.349   2164.736   1114.931   1761.445   948.909
0.36,    -0.267,    -0.286,     0.117   2138.827   1108.752   1544.205   1071.003
